,Unnamed: 0,district,rooms,size,level,max_levels,price
245,245,Ittifoq,2,55.0,1,4,67000.0
246,246,Ittifoq,4,76.0,5,5,45500.0
247,247,Ittifoq,2,49.0,2,6,47000.0
248,248,Ittifoq,4,80.0,2,4,70000.0
249,249,Ittifoq,5,142.0,5,5,120000.0
250,250,Ittifoq,3,60.0,3,4,44000.0
251,251,Zilol,3,72.0,4,5,47000.0
252,252,Olmazor,4,115.0,6,9,84000.0
253,253,Uchtepa,4,100.0,2,3,77000.0
254,254,Zilol,2,63.0,5,5,35000.0
255,255,Zilol,3,66.0,3,5,56000.0
256,256,Zilol,3,70.0,5,5,46500.0
257,257,Zilol,3,62.0,5,5,35000.0
258,258,Ittifoq,2,50.0,1,4,34000.0
259,259,Do'stlik,3,78.0,4,4,56000.0
260,260,Olmazor,2,62.0,2,9,63000.0
261,262,Uchtepa,3,63.0,4,4,40000.0
262,263,Zilol,4,91.0,1,5,75000.0
263,264,Шайхантахурский,3,81.0,6,9,54900.0
264,265,Zilol,4,86.0,3,4,42000.0
265,266,Zilol,2,54.0,3,5,54500.0
266,267,Olmazor,3,90.0,3,5,105000.0
267,268,Zilol,2,40.0,2,5,37000.0
268,269,Do'stlik,1,45.0,5,5,24000.0
269,270,Ulugʻbek,3,89.55,7,9,40000.0
270,271,Zilol,4,92.0,3,5,67000.0
271,272,Toshloq,3,100.0,3,4,1000.0
272,273,Zilol,4,95.0,1,4,77000.0
273,274,Zilol,4,102.0,4,9,65000.0
274,275,Ulugʻbek,2,65.0,5,9,31300.0
275,276,Zilol,2,62.0,5,5,33500.0
276,277,Ulugʻbek,2,56.0,3,5,38500.0
277,278,Zilol,2,59.0,2,8,41500.0
278,279,Ittifoq,3,96.0,6,9,64500.0
279,280,Uchtepa,1,37.0,4,8,13075.0
280,281,Toshloq,2,70.0,8,9,48000.0
281,282,Olmazor,2,78.0,4,8,77000.0
282,283,Toshloq,4,145.0,7,8,115000.0
283,284,Zilol,3,100.0,2,5,128000.0
284,285,Uchtepa,2,54.0,4,4,33000.0
285,286,Olmazor,3,70.0,2,4,66000.0
286,287,Toshloq,5,116.0,3,5,80000.0
287,288,Ittifoq,3,72.0,8,9,37700.0
288,289,Шайхантахурский,1,70.0,6,7,60000.0
289,290,Zilol,2,60.0,9,9,28500.0
290,291,Ittifoq,2,52.0,4,5,38000.0
291,292,Toshloq,3,95.0,7,8,65000.0
292,293,Ittifoq,2,44.0,1,4,38000.0
293,294,Ittifoq,2,42.0,3,4,36500.0
294,295,Ittifoq,2,43.0,2,4,36500.0
295,296,Ittifoq,3,77.0,5,5,95000.0
296,297,Ittifoq,1,24.0,3,4,20000.0
297,298,Ittifoq,1,30.0,1,4,26000.0
298,299,Ittifoq,2,41.0,1,4,36000.0
299,300,Do'stlik,2,46.0,2,4,36000.0
300,301,Ittifoq,2,42.0,2,4,36500.0
301,302,Do'stlik,2,51.0,3,4,45000.0
302,303,Bunyodkor,3,62.0,5,5,33500.0
303,304,Uchtepa,1,50.0,5,12,25000.0
304,305,Do'stlik,4,107.0,6,9,75500.0
305,308,Ulugʻbek,1,38.0,6,9,27500.0
306,310,Toshloq,4,110.0,7,9,75000.0
307,311,Ulugʻbek,2,55.62,5,9,31000.0
308,312,Zargarlik,2,66.0,8,9,31507.0
309,313,Toshloq,2,53.0,3,5,54000.0
310,314,Ulugʻbek,4,119.0,2,5,110000.0
311,315,Zilol,2,56.0,1,4,35000.0
312,316,Zilol,3,68.0,4,4,24000.0
313,317,Olmazor,3,125.0,7,12,129999.0
314,318,Toshloq,4,140.0,8,10,105000.0
315,319,Toshloq,4,141.0,7,7,95000.0
316,320,Bunyodkor,4,74.0,4,4,47500.0
317,321,Zilol,2,63.0,5,5,34997.0
318,322,Bunyodkor,2,41.0,4,4,32000.0
319,323,Olmazor,2,52.0,3,5,37000.0
320,324,Ittifoq,3,68.0,3,4,39000.0
321,325,Olmazor,4,110.0,1,4,63500.0
322,326,Zilol,2,60.0,6,9,35500.0
323,327,Ittifoq,1,54.0,9,9,35000.0
324,328,Zilol,2,60.0,5,5,35000.0
325,330,Ittifoq,2,46.0,3,4,37500.0
326,331,Ittifoq,4,94.0,4,5,73000.0
327,332,Ittifoq,2,58.0,1,9,40000.0
328,333,Zilol,4,92.0,3,5,62000.0
329,334,Ittifoq,3,70.0,3,4,55000.0
330,335,Ittifoq,2,42.0,4,4,37400.0
331,336,Ittifoq,2,42.0,4,4,35800.0
332,337,Ittifoq,2,75.0,4,12,60000.0
333,338,Do'stlik,3,72.0,1,9,100000.0
334,339,Bunyodkor,3,85.0,7,9,52500.0
335,340,Do'stlik,2,65.0,5,9,44000.0
336,341,Ittifoq,2,65.0,9,9,56600.0
337,342,Ittifoq,2,46.0,3,4,42000.0
338,343,Zilol,2,60.94,9,9,36542.0
339,346,Uchtepa,2,59.0,4,4,26500.0
340,347,Zilol,2,66.82,5,7,65000.0
341,348,Ittifoq,5,98.0,5,9,70000.0
342,349,Zilol,2,48.0,1,4,34499.0
343,350,Bunyodkor,3,92.0,8,9,46000.0
344,351,Olmazor,4,128.0,1,7,87000.0
345,352,Olmazor,2,56.0,2,5,37500.0
346,353,Uchtepa,1,45.0,1,5,36500.0
347,354,Ittifoq,3,70.0,2,4,48000.0
348,355,Bunyodkor,2,56.0,2,5,37500.0
349,356,Zilol,4,95.0,1,5,78000.0
350,357,Olmazor,2,100.0,8,9,150000.0
351,358,Zilol,4,97.0,5,5,80000.0
352,359,Zilol,4,130.0,4,9,98500.0
353,360,Do'stlik,3,67.0,4,4,42000.0
354,361,Zilol,4,95.0,5,5,50000.0
355,362,Do'stlik,2,62.0,4,9,55000.0
356,363,Toshloq,3,75.0,10,16,70000.0
357,364,Toshloq,3,70.0,6,6,81999.0
358,365,Uchtepa,2,59.0,2,7,22534.0
359,366,Do'stlik,2,55.0,1,9,43000.0
360,367,Do'stlik,2,59.0,5,5,37000.0
361,368,Ittifoq,2,44.0,4,4,29500.0
362,369,Шайхантахурский,2,30.0,3,3,38500.0
363,370,Toshloq,2,56.0,2,5,38000.0
364,371,Bunyodkor,3,60.0,4,4,40000.0
365,372,Olmazor,2,70.0,3,4,83000.0
366,373,Zilol,2,64.0,4,5,34500.0
367,374,Ittifoq,3,100.0,1,12,57000.0
368,375,Ittifoq,3,68.0,2,4,50000.0
369,376,Do'stlik,4,115.0,3,9,64000.0
370,377,Zilol,2,60.0,4,4,34000.0
371,378,Zilol,5,100.0,4,4,48000.0
372,379,Zilol,2,50.0,2,4,32500.0
373,380,Olmazor,3,105.0,7,9,125000.0
374,381,Zilol,2,70.0,4,7,87000.0
375,382,Zilol,5,137.0,3,7,105000.0
376,383,Uchtepa,1,36.0,4,9,26000.0
377,384,Toshloq,2,52.0,1,3,55000.0
378,385,Hayrobod,2,47.14,4,4,28000.0
379,386,Ittifoq,3,65.0,1,5,45000.0
380,387,Zilol,4,130.0,6,9,115000.0
381,388,Zilol,4,110.0,4,6,125000.0
382,389,Toshloq,2,61.0,2,9,53000.0
383,390,Olmazor,2,40.0,1,1,23500.0
384,391,Toshloq,3,75.0,7,9,62000.0
385,392,Ittifoq,2,54.0,4,4,37500.0
386,393,Do'stlik,2,64.0,3,4,54962.0
387,394,Ittifoq,1,30.0,3,4,31000.0
388,395,Ittifoq,3,68.0,4,4,46500.0
389,396,Do'stlik,2,50.0,1,4,38000.0
390,397,Olmazor,2,44.0,6,9,60000.0
391,398,Zilol,1,35.0,2,2,20600.0
392,399,Toshloq,3,70.0,4,5,68500.0
393,400,Zilol,1,46.0,1,5,33000.0
394,401,Zilol,3,71.0,4,4,40200.0
395,402,Ittifoq,1,50.0,5,5,21500.0
396,403,Toshloq,1,43.0,6,16,34000.0
397,404,Do'stlik,2,60.0,9,9,32000.0
398,405,Do'stlik,2,60.0,1,4,31999.0
399,406,Do'stlik,2,57.0,4,4,32000.0
400,407,Do'stlik,3,75.0,4,9,80000.0
401,408,Do'stlik,2,62.0,4,4,33000.0
402,409,Toshloq,2,43.0,6,16,34000.0
403,410,Ittifoq,2,48.0,1,4,34000.0
404,411,Do'stlik,3,70.0,1,9,68000.0
405,412,Do'stlik,2,54.0,2,4,33000.0
406,413,Do'stlik,2,50.0,4,4,33500.0
407,414,Do'stlik,2,50.0,2,4,33500.0
408,415,Ittifoq,2,60.0,2,9,36000.0
409,416,Ittifoq,2,60.0,1,9,41500.0
410,417,Ittifoq,2,68.0,1,4,41000.0
411,418,Ittifoq,2,50.0,1,5,34500.0
412,419,Ittifoq,2,50.0,4,4,32500.0
413,420,Ittifoq,2,60.0,4,5,38000.0
414,421,Do'stlik,4,122.0,8,9,134000.0
415,422,Toshloq,3,88.0,5,5,45500.0
416,423,Toshloq,4,118.0,8,12,102711.0
417,424,Do'stlik,2,55.0,1,3,42500.0
418,425,Do'stlik,2,60.0,4,4,34000.0
419,426,Toshloq,2,47.0,4,4,47500.0
420,427,Do'stlik,2,78.0,1,9,34000.0
421,428,Toshloq,2,62.0,8,9,42000.0
422,429,Do'stlik,2,50.0,4,4,34000.0
